"","SentenceNumber","variable","value"
"1",1,"anger",0
"2",2,"anger",0
"3",3,"anger",0
"4",4,"anger",0
"5",5,"anger",0
"6",6,"anger",0
"7",7,"anger",0
"8",8,"anger",0
"9",9,"anger",0
"10",10,"anger",0
"11",11,"anger",0.00833333333333333
"12",12,"anger",0
"13",13,"anger",0
"14",14,"anger",0.024390243902439
"15",15,"anger",0.0476190476190476
"16",16,"anger",0.032258064516129
"17",17,"anger",0
"18",18,"anger",0
"19",19,"anger",0
"20",20,"anger",0.0666666666666667
"21",21,"anger",0
"22",22,"anger",0.0277777777777778
"23",23,"anger",0
"24",24,"anger",0.0416666666666667
"25",25,"anger",0
"26",26,"anger",0.0476190476190476
"27",27,"anger",0.0113636363636364
"28",28,"anger",0.037037037037037
"29",29,"anger",0
"30",30,"anger",0.02
"31",31,"anger",0
"32",32,"anger",0
"33",33,"anger",0
"34",34,"anger",0
"35",35,"anger",0
"36",36,"anger",0
"37",37,"anger",0
"38",38,"anger",0.0232558139534884
"39",39,"anger",0.0275229357798165
"40",40,"anger",0.0487804878048781
"41",41,"anger",0
"42",42,"anger",0
"43",43,"anger",0
"44",44,"anger",0.0579710144927536
"45",45,"anger",0.0149253731343284
"46",46,"anger",0.0131578947368421
"47",47,"anger",0
"48",48,"anger",0.0307692307692308
"49",49,"anger",0.0344827586206897
"50",50,"anger",0
"51",51,"anger",0
"52",52,"anger",0
"53",53,"anger",0
"54",54,"anger",0
"55",55,"anger",0
"56",1,"disgust",0
"57",2,"disgust",0
"58",3,"disgust",0
"59",4,"disgust",0
"60",5,"disgust",0
"61",6,"disgust",0
"62",7,"disgust",0
"63",8,"disgust",0
"64",9,"disgust",0
"65",10,"disgust",0
"66",11,"disgust",0.00833333333333333
"67",12,"disgust",0
"68",13,"disgust",0
"69",14,"disgust",0.0487804878048781
"70",15,"disgust",0
"71",16,"disgust",0.032258064516129
"72",17,"disgust",0
"73",18,"disgust",0
"74",19,"disgust",0.0294117647058824
"75",20,"disgust",0.0666666666666667
"76",21,"disgust",0.0769230769230769
"77",22,"disgust",0
"78",23,"disgust",0
"79",24,"disgust",0
"80",25,"disgust",0
"81",26,"disgust",0.0476190476190476
"82",27,"disgust",0
"83",28,"disgust",0
"84",29,"disgust",0.0434782608695652
"85",30,"disgust",0.02
"86",31,"disgust",0
"87",32,"disgust",0
"88",33,"disgust",0
"89",34,"disgust",0
"90",35,"disgust",0
"91",36,"disgust",0
"92",37,"disgust",0
"93",38,"disgust",0
"94",39,"disgust",0.00917431192660551
"95",40,"disgust",0.024390243902439
"96",41,"disgust",0
"97",42,"disgust",0.0344827586206897
"98",43,"disgust",0.0222222222222222
"99",44,"disgust",0.0144927536231884
"100",45,"disgust",0.0149253731343284
"101",46,"disgust",0.0131578947368421
"102",47,"disgust",0
"103",48,"disgust",0
"104",49,"disgust",0.0344827586206897
"105",50,"disgust",0
"106",51,"disgust",0.0303030303030303
"107",52,"disgust",0
"108",53,"disgust",0
"109",54,"disgust",0
"110",55,"disgust",0
"111",1,"fear",0.03125
"112",2,"fear",0
"113",3,"fear",0
"114",4,"fear",0
"115",5,"fear",0.05
"116",6,"fear",0
"117",7,"fear",0
"118",8,"fear",0
"119",9,"fear",0
"120",10,"fear",0.037037037037037
"121",11,"fear",0.025
"122",12,"fear",0
"123",13,"fear",0
"124",14,"fear",0.024390243902439
"125",15,"fear",0.0476190476190476
"126",16,"fear",0.0967741935483871
"127",17,"fear",0.03125
"128",18,"fear",0
"129",19,"fear",0.0294117647058824
"130",20,"fear",0.0333333333333333
"131",21,"fear",0
"132",22,"fear",0.0277777777777778
"133",23,"fear",0
"134",24,"fear",0.0416666666666667
"135",25,"fear",0.04
"136",26,"fear",0
"137",27,"fear",0.0340909090909091
"138",28,"fear",0
"139",29,"fear",0
"140",30,"fear",0.02
"141",31,"fear",0
"142",32,"fear",0
"143",33,"fear",0.02
"144",34,"fear",0.117647058823529
"145",35,"fear",0
"146",36,"fear",0
"147",37,"fear",0.0222222222222222
"148",38,"fear",0.0232558139534884
"149",39,"fear",0.036697247706422
"150",40,"fear",0.024390243902439
"151",41,"fear",0.0416666666666667
"152",42,"fear",0.0344827586206897
"153",43,"fear",0.0444444444444444
"154",44,"fear",0.0289855072463768
"155",45,"fear",0.0298507462686567
"156",46,"fear",0
"157",47,"fear",0
"158",48,"fear",0.0461538461538462
"159",49,"fear",0.0172413793103448
"160",50,"fear",0.0126582278481013
"161",51,"fear",0
"162",52,"fear",0
"163",53,"fear",0
"164",54,"fear",0
"165",55,"fear",0
"166",1,"sadness",0
"167",2,"sadness",0.0128205128205128
"168",3,"sadness",0
"169",4,"sadness",0
"170",5,"sadness",0.05
"171",6,"sadness",0
"172",7,"sadness",0
"173",8,"sadness",0
"174",9,"sadness",0
"175",10,"sadness",0
"176",11,"sadness",0.0166666666666667
"177",12,"sadness",0
"178",13,"sadness",0
"179",14,"sadness",0.0487804878048781
"180",15,"sadness",0.0476190476190476
"181",16,"sadness",0.0967741935483871
"182",17,"sadness",0.03125
"183",18,"sadness",0
"184",19,"sadness",0
"185",20,"sadness",0
"186",21,"sadness",0
"187",22,"sadness",0
"188",23,"sadness",0.0178571428571429
"189",24,"sadness",0.0416666666666667
"190",25,"sadness",0
"191",26,"sadness",0
"192",27,"sadness",0.0227272727272727
"193",28,"sadness",0
"194",29,"sadness",0.0434782608695652
"195",30,"sadness",0.02
"196",31,"sadness",0.0294117647058824
"197",32,"sadness",0
"198",33,"sadness",0.02
"199",34,"sadness",0.117647058823529
"200",35,"sadness",0
"201",36,"sadness",0
"202",37,"sadness",0.0444444444444444
"203",38,"sadness",0.0232558139534884
"204",39,"sadness",0.036697247706422
"205",40,"sadness",0
"206",41,"sadness",0.0833333333333333
"207",42,"sadness",0.0344827586206897
"208",43,"sadness",0
"209",44,"sadness",0.0289855072463768
"210",45,"sadness",0.0298507462686567
"211",46,"sadness",0
"212",47,"sadness",0
"213",48,"sadness",0.0307692307692308
"214",49,"sadness",0
"215",50,"sadness",0.0126582278481013
"216",51,"sadness",0
"217",52,"sadness",0
"218",53,"sadness",0
"219",54,"sadness",0
"220",55,"sadness",0
